sciName,tiplabel,GENUS,FAMILY,ORDER,MSW3_sciName_matched,genes,extinct.,samp,BM,BodyMass_imp.,BM_SourceDB,BM_Method,BM_Ref,latCat,latMids,Lat_centroid,Lon_centroid,lat_min,lat_max,lon_min,lon_max
Abditomys_latidens,Abditomys_latidens_MURIDAE_RODENTIA,Abditomys,MURIDAE,RODENTIA,Abditomys_latidens,0,0,imputed,0.269,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,15.539036,15.9278526,121.03195,14.046836,17.031236,120.7883,121.3294
Abeomelomys_sevia,Abeomelomys_sevia_MURIDAE_RODENTIA,Abeomelomys,MURIDAE,RODENTIA,Abeomelomys_sevia,5,0,sampled,0.052,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-5.89838,-5.999044654,144.9942564,-6.756209,-5.040551,141.581657,147.651141
Abrawayaomys_chebezi,Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,RODENTIA,NA,0,0,imputed,0.064850071,TRUE,NA,NA,NA,2,-25.680005,NA,NA,-25.841922,-25.518088,-54.687723,-54.328397
Abrawayaomys_ruschii,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,Abrawayaomys,CRICETIDAE,RODENTIA,Abrawayaomys_ruschii,0,0,imputed,0.063,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-23.613663,-26.28987766,-54.22404805,-27.923152,-19.304174,-52.893664,-40.834419
Abrocoma_bennettii,Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_bennettii,23,0,sampled,0.25,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-29.597364,-31.63701581,-70.71958466,-34.610064,-24.584664,-71.727391,-69.316956
Abrocoma_boliviensis,Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_boliviensis,1,0,sampled,0.158,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-17.9032105,-17.90390862,-64.52170475,-17.930613,-17.875808,-64.583469,-64.45733
Abrocoma_budini,Abrocoma_budini_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_budini,0,0,imputed,0.3607,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Journal_of_Mammalogy_83:_1-19_(2002),2,-28.971112,-28.96503382,-65.58533075,-29.113915,-28.828309,-65.672886,-65.501813
Abrocoma_cinerea,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_cinerea,5,0,sampled,0.25,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-21.255564,-20.82184916,-67.35521633,-28.000964,-14.510164,-72.415558,-64.564178
Abrocoma_famatina,Abrocoma_famatina_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_famatina,0,0,imputed,0.2334,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Journal_of_Mammalogy_83:_1-19_(2002),2,-28.948429,-28.95030178,-67.80622798,-29.378325,-28.518533,-68.039259,-67.559657
Abrocoma_shistacea,Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_shistacea,0,0,imputed,0.2763,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Journal_of_Mammalogy_83:_1-19_(2002),2,-31.6111305,-31.79700222,-68.92742571,-32.010689,-31.211572,-69.552854,-68.592715
Abrocoma_uspallata,Abrocoma_uspallata_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_uspallata,0,0,imputed,0.2458,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Journal_of_Mammalogy_83:_1-19_(2002),2,-32.6810735,-32.68062256,-69.33085137,-32.707954,-32.654193,-69.347769,-69.313514
Abrocoma_vaccarum,Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA,Abrocoma,ABROCOMIDAE,RODENTIA,Abrocoma_vaccarum,0,0,imputed,0.2543,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Journal_of_Mammalogy_83:_1-19_(2002),2,-32.75518,-32.7564395,-69.72317646,-32.793889,-32.716471,-69.757798,-69.688529
Abrothrix_andinus,Abrothrix_andinus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_andinus,6,0,sampled,0.018,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-24.354564,-22.16249724,-68.33754904,-34.655464,-14.053664,-72.649,-65.1505
Abrothrix_hershkovitzi,Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_hershkovitzi,1,0,sampled,0.0349,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Mammalian_Biology_73:_309–317_(2003),2,-54.890963,NA,NA,-55.984028,-53.797898,-72.823608,-66.782501
Abrothrix_illuteus,Abrothrix_illuteus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_illuteus,2,0,sampled,0.0478,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-26.8324575,-25.61891417,-65.78811473,-28.203751,-25.461164,-66.9832,-64.403864
Abrothrix_jelskii,Abrothrix_jelskii_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_jelskii,6,0,sampled,0.0345,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-15.821164,-16.44076591,-70.265313,-23.609564,-8.032764,-78.1057,-65.1301
Abrothrix_lanosus,Abrothrix_lanosus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_lanosus,2,0,sampled,0.0325,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-52.761014,-52.97866975,-70.25408381,-54.847064,-50.674964,-74.2465,-67.0876
Abrothrix_longipilis,Abrothrix_longipilis_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_longipilis,5,0,sampled,0.0376,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-42.234614,-43.00707198,-70.83002534,-54.174464,-30.294764,-73.7581,-65.8951
Abrothrix_manni,Abrothrix_manni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,NA,0,0,imputed,0.035355963,TRUE,NA,NA,NA,2,-40.651104,NA,NA,-42.284788,-39.01742,-74.08127,-71.019244
Abrothrix_markhami,Abrothrix_markhami_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_markhami,1,0,sampled,0.038,FALSE,FS2016,Reported,Mammalian_Biology_73:_309–317_(2003),2,-49.1363255,NA,NA,-49.139003,-49.133648,-74.462391,-74.45487
Abrothrix_olivaceus,Abrothrix_olivaceus_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_olivaceus,5,0,sampled,0.039,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-36.145464,-42.31307223,-70.54632719,-53.902864,-18.388064,-75.6942,-64.980919
Abrothrix_sanborni,Abrothrix_sanborni_CRICETIDAE_RODENTIA,Abrothrix,CRICETIDAE,RODENTIA,Abrothrix_sanborni,2,0,sampled,0.0247,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-44.5507445,-41.99220767,-72.80664923,-46.492625,-42.608864,-74.40625,-71.750074
Acerodon_celebensis,Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Acerodon_celebensis,5,0,sampled,0.39,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-1.377564,-2.074558642,121.2253572,-6.499064,3.743936,118.7525,126.3494
Acerodon_humilis,Acerodon_humilis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Acerodon_humilis,0,0,imputed,0.5996,FALSE,FS2016,Assumed_isometric_based_on_forearm_length,Flannery_TM._Mammals_of_the_South_West_Pacific_&_Moluccan_Islands_(1994),1,4.183386,4.251267475,126.7762911,3.816936,4.549836,126.6087,126.9206
Acerodon_jubatus,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Acerodon_jubatus,1,0,sampled,1.075,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,11.647136,11.45728407,122.8985502,4.643336,18.650936,119.4445,126.337
Acerodon_leucotis,Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Acerodon_leucotis,0,0,imputed,0.5132,FALSE,FS2016,Assumed_isometric_based_on_forearm_length,Fieldiana_Zoology_69:_1-44_(1992),1,10.066486,9.867432752,118.6340099,7.801636,12.331336,116.9316,120.3418
Acerodon_mackloti,Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA,Acerodon,PTEROPODIDAE,CHIROPTERA,Acerodon_mackloti,0,0,imputed,0.4703,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-9.221464,-9.012068121,121.6544187,-10.374764,-8.068164,115.8361,127.3049
Acinonyx_jubatus,Acinonyx_jubatus_FELIDAE_CARNIVORA,Acinonyx,FELIDAE,CARNIVORA,Acinonyx_jubatus,7,0,sampled,46.7,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,4.134081,3.172881984,21.71785079,-28.858322,37.126484,-8.673868,57.540759
Acomys_airensis,Acomys_airensis_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_airensis,0,0,imputed,0.0483,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Isreal_Journal_of_Zoology_40:_215-246_(1994),1,18.475151,18.4538816,1.577636172,14.414497,22.535805,-12.644175,14.310558
Acomys_cahirinus,Acomys_cahirinus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_cahirinus,9,0,sampled,0.0525,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,21.9620215,24.59122469,19.38024281,11.0109,32.913143,-15.277543,43.625683
Acomys_cilicicus,Acomys_cilicicus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_cilicicus,1,0,sampled,0.0425,FALSE,FS2016,Reported,"Aulagnier_S,_Haffner_P,_Mitchell-Jones_AJ,_Moutou_F,_Zima,_J._The_Mammals_of_Europe,_North_Africa_and_the_Middle_East_(2009)",2,36.4305895,36.43848423,34.1038903,36.393648,36.467531,34.073597,34.140662
Acomys_cineraceus,Acomys_cineraceus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_cineraceus,0,0,imputed,0.0203,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Proceedings_of_the_Unites_States_National_Museum_106:_447-583_(1959),1,9.948736,10.30473116,32.87572024,3.410036,16.487436,23.0144,43.0785
Acomys_dimidiatus,Acomys_dimidiatus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_dimidiatus,1,0,sampled,0.0375,FALSE,FS2016,Reported,"Aulagnier_S,_Haffner_P,_Mitchell-Jones_AJ,_Moutou_F,_Zima,_J._The_Mammals_of_Europe,_North_Africa_and_the_Middle_East_(2009)",0,23.010636,22.54414839,46.87582787,12.591336,33.429936,32.5628,67.9777
Acomys_ignitus,Acomys_ignitus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_ignitus,6,0,sampled,0.024,FALSE,FS2016,Reported,"Aulagnier_S,_Haffner_P,_Mitchell-Jones_AJ,_Moutou_F,_Zima,_J._The_Mammals_of_Europe,_North_Africa_and_the_Middle_East_(2009)",1,-2.907764,-2.697570789,38.44777905,-4.613264,-1.202264,36.2695,40.2928
Acomys_johannis,Acomys_johannis_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_johannis,1,0,sampled,0.0185,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,Annals_and_Magazine_of_Natural_History_8_9:_269-274_(1912),1,11.875136,12.01428913,-0.382083316,8.792136,14.958136,-5.0014,14.2078
Acomys_kempi,Acomys_kempi_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_kempi,0,0,imputed,0.022,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,0.013286,1.326465647,40.22979809,-4.743564,4.770136,35.6457,45.0875
Acomys_louisae,Acomys_louisae_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_louisae,0,0,imputed,0.0202,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,4.960136,6.174156147,45.90090764,-2.064964,11.985236,40.6037,51.413
Acomys_minous,Acomys_minous_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_minous,1,0,sampled,0.0625,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,35.3100685,35.23385389,24.84664364,34.925175,35.694962,23.520502,26.317026
Acomys_mullah,Acomys_mullah_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_mullah,0,0,imputed,0.0284,FALSE,FS2016,Reported,Global_Ecology_and_Biogeography_18:_19-29_(2009),1,11.911286,11.15762292,42.30267387,8.911336,14.911236,39.8792,45.5491
Acomys_muzei,Acomys_muzei_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,NA,1,0,sampled,0.066704943,TRUE,NA,NA,NA,1,-7.1991475,NA,NA,-11.460726,-2.937569,26.44212,36.293811
Acomys_nesiotes,Acomys_nesiotes_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_nesiotes,1,0,sampled,0.0525,FALSE,FS2016,Reported,"Aulagnier_S,_Haffner_P,_Mitchell-Jones_AJ,_Moutou_F,_Zima,_J._The_Mammals_of_Europe,_North_Africa_and_the_Middle_East_(2009)",2,35.1325245,35.04924214,33.23491546,34.563511,35.701538,32.273087,34.597919
Acomys_ngurui,Acomys_ngurui_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,NA,1,0,sampled,0.090888375,TRUE,NA,NA,NA,1,-7.9211705,NA,NA,-11.226272,-4.616069,34.932597,40.314369
