zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Acinonyx_jubatus,Acinonyx_jubatus_FELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_001443585.1,CR,Cheetah,CARNIVORA,Felidae,NA
Acomys_cahirinus,Acomys_cahirinus_MURIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027535.1,LC,Cairo spiny mouse,RODENTIA,Muridae,NA
Ailuropoda_melanoleuca,Ailuropoda_melanoleuca_URSIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCA_002007445.1,VU,Giant panda,CARNIVORA,Ursidae,NA
Ailurus_fulgens,Ailurus_fulgens_AILURIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCA_002007465.1,EN,Lesser panda,CARNIVORA,Ailuridae,NA
Allactaga_bullata,Allactaga_bullata_DIPODIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027895.1,LC,Gobi jerboa,RODENTIA,Dipodidae,NA
Alouatta_palliata,Alouatta_palliata_ATELIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027835.1,CR,Mexican howler monkey,PRIMATES,Atelidae,mexicana
Ammotragus_lervia,Ammotragus_lervia_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_002201775.1,VU,Aoudad,CETARTIODACTYLA,Bovidae,NA
Anoura_caudifer,Anoura_caudifer_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004027475.1,LC,Tailed tailless bat,CHIROPTERA,Phyllostomidae,NA
Antilocapra_americana,Antilocapra_americana_ANTILOCAPRIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004027515.1,LC,Pronghorn,CETARTIODACTYLA,Antilocapridae,NA
Antrozous_pallidus,Antrozous_pallidus_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_007922775.1,LC,Pallid bat,CHIROPTERA,Vespertilionidae,NA
Aotus_nancymaae,Aotus_nancymaae_AOTIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_000952055.2,VU,Ma's night monkey,PRIMATES,Aotidae,NA
Aplodontia_rufa,Aplodontia_rufa_APLODONTIIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027875.1,LC,Mountain beaver,RODENTIA,Aplodontiidae,NA
Artibeus_jamaicensis,Artibeus_jamaicensis_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004027435.1,LC,Jamacian fruit-eating bat,CHIROPTERA,Phyllostomidae,NA
Ateles_geoffroyi,Ateles_geoffroyi_ATELIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004024785.1,EN,Geoffroy's spider monkey,PRIMATES,Atelidae,NA
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata_BALAENOPTERIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000493695.1,LC,Minke whale,CETARTIODACTYLA,Balaenopteridae,NA
Balaenoptera_bonaerensis,Balaenoptera_bonaerensis_BALAENOPTERIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_000978805.1,DD,Antarctic minke whale,CETARTIODACTYLA,Balaenopteridae,NA
Beatragus_hunteri,Beatragus_hunteri_BOVIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004027495.1,CR,Hirola,CETARTIODACTYLA,Bovidae,NA
Bison_bison,Bison_bison_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000754665.1,NT,American bison,CETARTIODACTYLA,Bovidae,NA
Bos_indicus,Bos_indicus_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_000247795.2,LC,Zebu cattle,CETARTIODACTYLA,Bovidae,NA
Bos_mutus,Bos_mutus_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000298355.1,VU,Wild yak,CETARTIODACTYLA,Bovidae,NA
Bos_taurus,Bos_taurus_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000003205.7,LC,Cattle,CETARTIODACTYLA,Bovidae,NA
Bradypus_variegatus,Bradypus_variegatus_BRADYPODIDAE_PILOSA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_004027775.1,LC,Brown-throated sloth,PILOSA,Bradypodidae,NA
Bubalus_bubalis,Bubalus_arnee_BOVIDAE_CETARTIODACTYLA,1,domestic form of B. arnee,https://www.mammaldiversity.org/explore.html#genus=Bubalus&species=bubalis&id=1006269,2,2. Existing assembly,GCF_000471725.1,LC,Water buffalo,CETARTIODACTYLA,Bovidae,NA
Callicebus_donacophilus,Callicebus_donacophilus_PITHECIIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027715.1,LC,White-eared titi,PRIMATES,Pitheciidae,NA
Callithrix_jacchus,Callithrix_jacchus_CALLITRICHIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_002754865.1,LC,White-tufted-ear marmoset,PRIMATES,Cebidae,NA
Camelus_bactrianus,Camelus_bactrianus_CAMELIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000767855.1,LC,Bactrian camel,CETARTIODACTYLA,Camelidae,NA
Camelus_dromedarius,Camelus_dromedarius_CAMELIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000767585.1,LC,Arabian camel,CETARTIODACTYLA,Camelidae,NA
