"","tiplabel","sciName","BM","Lat_centroid","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Assembly.Submission.Date","zoo_Source","Species_Name","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","samp","PC"
"1","Abditomys_latidens_MURIDAE_RODENTIA","Abditomys_latidens",0.269,15.9278526,NA,NA,NA,NA,NA,"Abditomys_latidens","Abditomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abditomys_latidens",0,0,"imputed","PC11_Muridae"
"2","Abeomelomys_sevia_MURIDAE_RODENTIA","Abeomelomys_sevia",0.052,-5.999044654,NA,NA,NA,NA,NA,"Abeomelomys_sevia","Abeomelomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abeomelomys_sevia",5,0,"sampled","PC11_Muridae"
"3","Abrawayaomys_chebezi_CRICETIDAE_RODENTIA","Abrawayaomys_chebezi",0.064850071,NA,NA,NA,NA,NA,NA,"Abrawayaomys_chebezi","Abrawayaomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,0,0,"imputed","PC12_Cricetidae"
"4","Abrawayaomys_ruschii_CRICETIDAE_RODENTIA","Abrawayaomys_ruschii",0.063,-26.28987766,NA,NA,NA,NA,NA,"Abrawayaomys_ruschii","Abrawayaomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrawayaomys_ruschii",0,0,"imputed","PC12_Cricetidae"
"5","Abrocoma_bennettii_ABROCOMIDAE_RODENTIA","Abrocoma_bennettii",0.25,-31.63701581,NA,NA,NA,NA,NA,"Abrocoma_bennettii","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_bennettii",23,0,"sampled","PC14_GuineaPigRelated"
"6","Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA","Abrocoma_boliviensis",0.158,-17.90390862,NA,NA,NA,NA,NA,"Abrocoma_boliviensis","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_boliviensis",1,0,"sampled","PC14_GuineaPigRelated"
"7","Abrocoma_budini_ABROCOMIDAE_RODENTIA","Abrocoma_budini",0.3607,-28.96503382,NA,NA,NA,NA,NA,"Abrocoma_budini","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_budini",0,0,"imputed","PC14_GuineaPigRelated"
"8","Abrocoma_cinerea_ABROCOMIDAE_RODENTIA","Abrocoma_cinerea",0.25,-20.82184916,NA,NA,NA,NA,NA,"Abrocoma_cinerea","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_cinerea",5,0,"sampled","PC14_GuineaPigRelated"
"9","Abrocoma_famatina_ABROCOMIDAE_RODENTIA","Abrocoma_famatina",0.2334,-28.95030178,NA,NA,NA,NA,NA,"Abrocoma_famatina","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_famatina",0,0,"imputed","PC14_GuineaPigRelated"
"10","Abrocoma_shistacea_ABROCOMIDAE_RODENTIA","Abrocoma_shistacea",0.2763,-31.79700222,NA,NA,NA,NA,NA,"Abrocoma_shistacea","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_shistacea",0,0,"imputed","PC14_GuineaPigRelated"
