Order,Family,Species,subspecies,Common Name,Source,Accession,IUCN
AFROSORICIDA,Chrysochloridae,Chrysochloris asiatica,,Cape golden mole,1. Zoonomia,GCA_004027935.1,LC
AFROSORICIDA,Tenrecidae,Microgale talazaci,,Talazac's shrew tenrec,1. Zoonomia,GCA_004026705.1,LC
CARNIVORA,Canidae,Canis lupus,familiaris,Domestic dog (village dog),1. Zoonomia,GCA_004027395.1,LC
CARNIVORA,Canidae,Vulpes lagopus,,Arctic fox,1. Zoonomia,GCA_004023825.1,LC
CARNIVORA,Eupleridae,Cryptoprocta ferox,,Fossa,1. Zoonomia,GCA_004023885.1,VU
CARNIVORA,Felidae,Felis nigripes,,Black-footed cat,1. Zoonomia,GCA_004023925.1,VU
CARNIVORA,Felidae,Panthera onca,,Jaguar,1. Zoonomia,GCA_004023805.1,NT
CARNIVORA,Herpestidae,Helogale parvula,,Dwarf mongoose,1. Zoonomia,GCA_004023845.1,LC
CARNIVORA,Herpestidae,Mungos mungo,,South African banded mongoose,1. Zoonomia,GCA_004023785.1,LC
CARNIVORA,Herpestidae,Suricata suricatta,,Meerkat,1. Zoonomia,GCA_004023905.1,LC
CARNIVORA,Hyaenidae,Hyaena hyaena,,Striped hyena,1. Zoonomia,GCA_004023945.1,NT
CARNIVORA,Mephitidae,Spilogale gracilis,,Western spotted skunk,1. Zoonomia,GCA_004023965.1,LC
CARNIVORA,Mustelidae,Mellivora capensis,,Honey badger,1. Zoonomia,GCA_004024625.1,LC
CARNIVORA,Mustelidae,Pteronura brasiliensis,,Giant otter,1. Zoonomia,GCA_004024605.1,EN
CARNIVORA,Otariidae,Zalophus californianus,,California sea lion,1. Zoonomia,GCA_004024565.1,LC
CARNIVORA,Phocidae,Mirounga angustirostris,,Northern elephant seal,1. Zoonomia,GCA_004023865.1,LC
CARNIVORA,Viverridae,Paradoxurus hermaphroditus,,Asian palm civet,1. Zoonomia,GCA_004024585.1,LC
CETARTIODACTYLA,Antilocapridae,Antilocapra americana,,Pronghorn,1. Zoonomia,GCA_004027515.1,LC
CETARTIODACTYLA,Balaenidae,Eubalaena japonica,,North Pacific right whale,1. Zoonomia,GCA_004363455.1,EN
CETARTIODACTYLA,Bovidae,Beatragus hunteri,,Hirola,1. Zoonomia,GCA_004027495.1,CR
CETARTIODACTYLA,Bovidae,Hemitragus hylocrius,,Nilgiri tahr,1. Zoonomia,GCA_004026825.1,EN
CETARTIODACTYLA,Bovidae,Ovis canadensis,cremnobates,Peninsular bighorn sheep,1. Zoonomia,GCA_004026945.1,EN
CETARTIODACTYLA,Bovidae,Saiga tatarica,tatarica,Russian saiga,1. Zoonomia,GCA_004024985.1,CR
CETARTIODACTYLA,Cervidae,Rangifer tarandus,,Siberian reindeer,1. Zoonomia,GCA_004026565.1,VU
CETARTIODACTYLA,Eschrichtiidae,Eschrichtius robustus,,Grey whale,1. Zoonomia,GCA_004363415.1,LC
CETARTIODACTYLA,Hippopotamidae,Hippopotamus amphibius,,Hippopotamus,1. Zoonomia,GCA_004027065.1,VU
CETARTIODACTYLA,Iniidae,Inia geoffrensis,,Amazon river dolphin,1. Zoonomia,GCA_004363515.1,DD
CETARTIODACTYLA,Monodontidae,Monodon monoceros,,Narwhal,1. Zoonomia,GCA_004026685.1,LC
CETARTIODACTYLA,Moschidae,Moschus moschiferus,,Siberian musk deer,1. Zoonomia,GCA_004024705.1,VU
CETARTIODACTYLA,Phocoenidae,Phocoena phocoena,,Harbor porpoise,1. Zoonomia,GCA_004363495.1,LC
CETARTIODACTYLA,Physeteridae,Kogia breviceps,,Pygmy sperm whale,1. Zoonomia,GCA_004363705.1,DD
CETARTIODACTYLA,Platanistidae,Platanista gangetica,minor,Indus river dolphin,1. Zoonomia,GCA_004363435.1,EN
CETARTIODACTYLA,Tayassuidae,Catagonus wagneri,,Chacoan peccary,1. Zoonomia,GCA_004024745.1,EN
CETARTIODACTYLA,Tragulidae,Tragulus javanicus,,Java lesser chevrotain,1. Zoonomia,GCA_004024965.1,DD
CETARTIODACTYLA,Ziphiidae,Mesoplodon bidens,,Sowerby’s beaked whale,1. Zoonomia,GCA_004027085.1,DD
CETARTIODACTYLA,Ziphiidae,Ziphius cavirostris,,Cuvier's beaked whale,1. Zoonomia,GCA_004364475.1,LC
CHIROPTERA,Craseonycteridae,Craseonycteris thonglongyai,,Bumblebee bat,1. Zoonomia,GCA_004027555.1,VU
CHIROPTERA,Hipposideridae,Hipposideros galeritus,,Cantor's leaf-nosed bat,1. Zoonomia,GCA_004027415.1,LC
CHIROPTERA,Megadermatidae,Megaderma lyra,,Greater false vampire bat,1. Zoonomia,GCA_004026885.1,LC
CHIROPTERA,Molossidae,Tadarida brasiliensis,,Mexican free-tailed bat,1. Zoonomia,GCA_004025005.1,LC
CHIROPTERA,Mormoopidae,Mormoops blainvillei,,Ghost-faced bat,1. Zoonomia,GCA_004026545.1,LC
CHIROPTERA,Noctilionidae,Noctilio leporinus,,Greater bulldog bat,1. Zoonomia,GCA_004026585.1,LC
CHIROPTERA,Phyllostomidae,Anoura caudifer,,Tailed tailless bat,1. Zoonomia,GCA_004027475.1,LC
CHIROPTERA,Phyllostomidae,Artibeus jamaicensis,,Jamacian fruit-eating bat,1. Zoonomia,GCA_004027435.1,LC
CHIROPTERA,Phyllostomidae,Carollia perspicillata,,Seba's short-tailed bat,1. Zoonomia,GCA_004027735.1,LC
CHIROPTERA,Phyllostomidae,Micronycteris hirsuta,,Hairy big-eared bat,1. Zoonomia,GCA_004026765.1,LC
CHIROPTERA,Phyllostomidae,Tonatia saurophila,,Stripe-headed round-eared bat,1. Zoonomia,GCA_004024845.1,LC
CHIROPTERA,Pteropodidae,Macroglossus sobrinus,,Long-tongued fruit bat,1. Zoonomia,GCA_004027375.1,LC
CHIROPTERA,Pteropodidae,Rousettus aegyptiacus,,Egyptian fruit bat,1. Zoonomia,GCA_004024865.1,LC
CHIROPTERA,Vespertilionidae,Lasiurus borealis,,Eastern red bat,1. Zoonomia,GCA_004026805.1,LC
CHIROPTERA,Vespertilionidae,Miniopterus schreibersii,,Common bent-wing bat,1. Zoonomia,GCA_004026525.1,NT
CHIROPTERA,Vespertilionidae,Murina feae,,Ashy-gray tube-nosed bat,1. Zoonomia,GCA_004026665.1,LC
CHIROPTERA,Vespertilionidae,Myotis myotis,,Greater mouse-eared bat,1. Zoonomia,GCA_004026985.1,LC
CHIROPTERA,Vespertilionidae,Pipistrellus pipistrellus,,Common pipistrelle,1. Zoonomia,GCA_004026625.1,LC
CINGULATA,Dasypodidae,Chaetophractus vellerosus,,Screaming hairy armadillo,1. Zoonomia,GCA_004027955.1,LC
CINGULATA,Dasypodidae,Tolypeutes matacus,,Southern three-banded armadillo,1. Zoonomia,GCA_004025125.1,NT
DERMOPTERA,Cynocephalidae,Galeopterus variegatus,,Sunda flying lemur,1. Zoonomia,GCA_004027255.1,LC
EULIPOTYPHLA,Solenodontidae,Solenodon paradoxus,,Hispaniolan solenodon,1. Zoonomia,GCA_004363575.1,EN
EULIPOTYPHLA,Soricidae,Crocidura indochinensis,,Indochinese shrew,1. Zoonomia,GCA_004027635.1,LC
EULIPOTYPHLA,Talpidae,Scalopus aquaticus,,Eastern mole,1. Zoonomia,GCA_004024925.1,LC
EULIPOTYPHLA,Talpidae,Uropsilus gracilis,,Gracile shrew-like mole,1. Zoonomia,GCA_004024945.1,LC
HYRACOIDEA,Procaviidae,Heterohyrax brucei,,African yellow-spotted rock hyrax,1. Zoonomia,GCA_004026845.1,LC
HYRACOIDEA,Procaviidae,Procavia capensis,,South African rock hyrax,1. Zoonomia,GCA_004026925.1,LC
LAGOMORPHA,Leporidae,Lepus americanus,,Snowshoe hare,1. Zoonomia,GCA_004026855.1,LC
MACROSCELIDEA,Macroscelididae,Elephantulus edwardii,,Cape elephant shrew,1. Zoonomia,GCA_004027355.1,LC
PERISSODACTYLA,Rhinocerotidae,Ceratotherium simum,cottoni,Northern white rhino,1. Zoonomia,GCA_004027795.1,CR
PERISSODACTYLA,Rhinocerotidae,Diceros bicornis,,Black rhinocerous,1. Zoonomia,GCA_004027315.1,CR
PERISSODACTYLA,Tapiridae,Tapirus indicus,,Malayan tapir,1. Zoonomia,GCA_004024905.1,EN
PERISSODACTYLA,Tapiridae,Tapirus terrestris,,South American tapir,1. Zoonomia,GCA_004025025.1,VU
PILOSA,Megalonychidae,Choloepus didactylus,,Linnaeus's two toed sloth,1. Zoonomia,GCA_004027855.1,LC
PILOSA,Myrmecophagidae,Myrmecophaga tridactyla,,Giant anteater,1. Zoonomia,GCA_004026745.1,VU
PILOSA,Myrmecophagidae,Tamandua tetradactyla,,Southern tamandua,1. Zoonomia,GCA_004025105.1,LC
PRIMATES,Atelidae,Alouatta palliata,mexicana,Mexican howler monkey,1. Zoonomia,GCA_004027835.1,CR
PRIMATES,Atelidae,Ateles geoffroyi,,Geoffroy's spider monkey,1. Zoonomia,GCA_004024785.1,EN
PRIMATES,Cebidae,Cebus albifrons,,White-fronted capuchin,1. Zoonomia,GCA_004027755.1,LC
PRIMATES,Cebidae,Saguinus imperator,,Emperor tamarin,1. Zoonomia,GCA_004024885.1,LC
PRIMATES,Cercopithecidae,Cercopithecus neglectus,,De brazza's monkey,1. Zoonomia,GCA_004027615.1,LC
PRIMATES,Cercopithecidae,Erythrocebus patas,,Patas monkey,1. Zoonomia,GCA_004027335.1,LC
PRIMATES,Cercopithecidae,Nasalis larvatus,,Proboscis monkey,1. Zoonomia,GCA_004027105.1,EN
PRIMATES,Cercopithecidae,Pygathrix nemaeus,,Red-shanked douc,1. Zoonomia,GCA_004024825.1,EN
PRIMATES,Cercopithecidae,Semnopithecus entellus,,Northern Plains gray langur,1. Zoonomia,GCA_004025065.1,LC
PRIMATES,Cheirogaleidae,Cheirogaleus medius,,Fat-tailed dwarf lemur,1. Zoonomia,GCA_004024725.1,LC
PRIMATES,Cheirogaleidae,Mirza coquereli,,Coquerel's giant mouse lemur,1. Zoonomia,GCA_004024645.1,EN
PRIMATES,Daubentoniidae,Daubentonia madagascariensis,,Aye-aye,1. Zoonomia,GCA_004027145.1,EN
PRIMATES,Indridae,Indri indri,,Indri,1. Zoonomia,GCA_004363605.1,CR
PRIMATES,Lemuridae,Eulemur fulvus,,Common brown lemur,1. Zoonomia,GCA_004027275.1,NT
PRIMATES,Lemuridae,Lemur catta,,Ring tailed lemur,1. Zoonomia,GCA_004024665.1,EN
PRIMATES,Lorisidae,Nycticebus coucang,,Sunda slow loris,1. Zoonomia,GCA_004027815.1,VU
PRIMATES,Pitheciidae,Callicebus donacophilus,,White-eared titi,1. Zoonomia,GCA_004027715.1,LC
PRIMATES,Pitheciidae,Pithecia pithecia,,White-faced saki,1. Zoonomia,GCA_004026645.1,LC
RODENTIA,Aplodontiidae,Aplodontia rufa,,Mountain beaver,1. Zoonomia,GCA_004027875.1,LC
RODENTIA,Capromyidae,Capromys pilorides,,Desmarest's hutia,1. Zoonomia,GCA_004027915.1,LC
RODENTIA,Castoridae,Castor canadensis,,North American beaver,1. Zoonomia,GCA_004027675.1,LC
RODENTIA,Caviidae,Cavia tschudii,,Montane guinea pig,1. Zoonomia,GCA_004027695.1,LC
RODENTIA,Caviidae,Dolichotis patagonum,,Patagonian mara,1. Zoonomia,GCA_004027295.1,NT
RODENTIA,Caviidae,Hydrochoerus hydrochaeris,,Capybara,1. Zoonomia,GCA_004027455.1,LC
RODENTIA,Cricetidae,Ondatra zibethicus,,Muskrat,1. Zoonomia,GCA_004026605.1,LC
RODENTIA,Cricetidae,Onychomys torridus,,Scorpion mouse,1. Zoonomia,GCA_004026725.1,LC
RODENTIA,Cricetidae,Sigmodon hispidus,,Hispid cotton rat,1. Zoonomia,GCA_004025045.1,LC
RODENTIA,Ctenodactylidae,Ctenodactylus gundi,,Common gundi,1. Zoonomia,GCA_004027205.1,LC
RODENTIA,Ctenomyidae,Ctenomys sociabilis,,Social tuco-tuco,1. Zoonomia,GCA_004027165.1,CR
RODENTIA,Cuniculidae,Cuniculus paca,,Lowland paca,1. Zoonomia,GCA_004365215.1,LC
RODENTIA,Dasyproctidae,Dasyprocta punctata,,Central American agouti,1. Zoonomia,GCA_004363535.1,LC
RODENTIA,Dinomyidae,Dinomys branickii,,Pacarana,1. Zoonomia,GCA_004027595.1,LC
RODENTIA,Dipodidae,Allactaga bullata,,Gobi jerboa,1. Zoonomia,GCA_004027895.1,LC
RODENTIA,Dipodidae,Zapus hudsonius,,Meadow jumping mouse,1. Zoonomia,GCA_004024765.1,LC
RODENTIA,Gliridae,Glis glis,,Edible dormouse,1. Zoonomia,GCA_004027185.1,LC
RODENTIA,Gliridae,Graphiurus murinus,,Woodland doormouse,1. Zoonomia,GCA_004027655.1,LC
RODENTIA,Gliridae,Muscardinus avellanarius,,Hazel dormouse,1. Zoonomia,GCA_004027005.1,LC
RODENTIA,Heteromyidae,Dipodomys stephensi,,Stephen's kangaroo rat,1. Zoonomia,GCA_004024685.1,VU
RODENTIA,Heteromyidae,Perognathus longimembris,pacificus,Pacific pocket mouse,1. Zoonomia,GCA_004363475.1,LC
RODENTIA,Hystricidae,Hystrix cristata,,Northern crested porcupine,1. Zoonomia,GCA_004026905.1,LC
RODENTIA,Muridae,Acomys cahirinus,,Cairo spiny mouse,1. Zoonomia,GCA_004027535.1,LC
RODENTIA,Muridae,Meriones unguiculatus,,Mongolian jird,1. Zoonomia,GCA_004026785.1,LC
RODENTIA,Myocastoridae,Myocastor coypus,,Coypu,1. Zoonomia,GCA_004027025.1,LC
RODENTIA,Nesomyidae,Cricetomys gambianus,,Gambian pouched rat,1. Zoonomia,GCA_004027575.1,LC
