Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_000001405.29	GRCh38.p14	Homo sapiens								3099734149	Chromosome	2022-02-03		57879411	67794873
GCA_000001515.5	Pan_tro 3.0	Pan troglodytes					Yerkes chimp pedigree #C0471 (Clint)	male		3231154112	Chromosome	2016-05-03	AACZ04	384816	26972556
GCA_000001545.3	P_pygmaeus_2.0.2	Pongo abelii					ISIS 71	female		3437863358	Chromosome	2008-11-13	ABGA01	15652	747367
GCA_000001635.9	GRCm39	Mus musculus		C57BL/6J						2728206152	Chromosome	2020-06-24		59462871	106145001
GCA_000001895.4	Rnor_6.0	Rattus norvegicus		mixed				pooled males and females		2870167880	Chromosome	2014-07-01	AABR07	100461	14986627
GCA_000001905.1	Loxafr3.0	Loxodonta africana					ISIS603380	female		3196738035	Scaffold	2009-07-15	AAGU03	69023	46401353
GCA_000002115.2	WGSA	Homo sapiens								2863645671	Chromosome	2004-02-25	AADD01	23350	29133171
GCA_000002125.2	HuRef	Homo sapiens						male		2844000504	Chromosome	2007-09-24	ABBA01	108431	17664250
GCA_000002165.1	Mm_Celera	Mus musculus		mixed					Annotation submitted by Celera Genomics	3251246261	Chromosome	2009-03-04	AAHY01	21690	23250767
GCA_000002175.2	CCYSCv1	Pan troglodytes verus								12263273	Chromosome	2006-04-20		10257935	10257935
GCA_000002275.2	ASM227v2	Ornithorhynchus anatinus					Glennie	female		1996809494	Chromosome	2007-02-14	AAPN01	11544	991605
GCA_000002285.4	Dog10K_Boxer_Tasha	Canis lupus familiaris	boxer				Tasha	female		2312785471	Chromosome	2020-10-06	AAEX04	27487084	63738581
GCA_000002295.1	MonDom5	Monodelphis domestica								3600487649	Chromosome	2007-01-25	AAFR03	107990	527952102
GCA_000003025.6	Sscrofa11.1	Sus scrofa	Duroc				TJ Tabasco	female		2501895775	Chromosome	2017-02-07	AEMK02	48231277	88231837
GCA_000003055.5	Bos_taurus_UMD_3.1.1	Bos taurus	Hereford					pooled male and female	Annotation submitted by Center for Bioinformatics and Computational Biology, University of Maryland	2670123310	Chromosome	2014-11-25	DAAA02	96955	6380747
GCA_000003115.1	catChrV17e	Felis catus	mixed							3160286939	Chromosome	2009-03-16	ACBE01	4577	16304361
GCA_000003205.6	Btau_5.0.1	Bos taurus	Hereford					pooled male and female		2724980740	Chromosome	2015-11-19	AAFC05	276285	6806220
GCA_000004035.1	Meug_1.1	Notamacropus eugenii						female		3075184024	Scaffold	2009-11-06	ABQO01	2602	36602
GCA_000004665.1	Callithrix jacchus-3.2	Callithrix jacchus								2914958544	Chromosome	2010-01-22	ACFV01	29273	5167444
GCA_000004845.2	YH_2.0	Homo sapiens						male		2911235363	Scaffold	2013-06-10	ADDF02	20516	20520932
GCA_000005465.1	BGIAF	Homo sapiens						male		2676008911	Scaffold	2010-06-21	DAAB01	887	62478
GCA_000005525.1	Ovis_aries_1.0	Ovis aries	mixed					female		2860496367	Chromosome	2010-02-25	ACIV01	685	34092587
GCA_000090855.1	ICC22C chr21	Pan troglodytes								32799110	Chromosome	2004-07-02		9982772	27632627
GCA_000146795.3	Nleu_3.0	Nomascus leucogenys					Asia; international studbook 0098	female		2962060179	Chromosome	2012-12-08	ADFV01	35148	52956880
GCA_000147115.1	Myoluc2.0	Myotis lucifugus						female		2034575300	Scaffold	2010-09-14	AAPE02	64330	4293315
GCA_000151735.1	Cavpor3.0	Cavia porcellus		inbred line 2N				female		2723202840	Scaffold	2008-03-03	AAKN02	80583	27942054
GCA_000151845.2	Pvam_2.0	Pteropus vampyrus					Shadow	female		2198284804	Scaffold	2014-12-05	ABRP02	21866	5954017
GCA_000151865.3	Ttru_1.4	Tursiops truncatus						female		2551401796	Scaffold	2012-01-02	ABRN02	11821	116287
GCA_000151885.2	Dord_2.0	Dipodomys ordii					6190	female		2236368823	Scaffold	2014-12-12	ABRO02	48087	11931245
GCA_000151905.3	gorGor4	Gorilla gorilla gorilla								3063346382	Chromosome	2014-12-19	CABD03	52934	81227029
GCA_000152225.2	Pcap_2.0	Procavia capensis					Dallas Zoo Isis #01D731	female		3602182911	Scaffold	2014-12-16	ABRQ02	35792	905827
GCA_000164785.2	C_hoffmanni-2.0.1	Choloepus hoffmanni					OR478-KB4484	female		3286013499	Scaffold	2014-09-30	ABVD02	64490	366442
